mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1279782772064209,0.005157487663969107,0.01444711685180664,0.0021034371692483563,3,0.1,1,3,30,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 30}",0.7908163265306123,0.7500000000000001,0.75,0.8520408163265306,0.8626373626373627,0.8010989010989011,0.048394189118865644,5566
0.1296164035797119,0.011296490737788075,0.014489459991455077,0.0024650188621684606,3,0.1,1,3,32,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 32}",0.7959183673469388,0.7551020408163266,0.7755102040816326,0.8622448979591837,0.8571428571428571,0.8091836734693876,0.04324412265391241,5528
0.1392284393310547,0.009705943778224844,0.015186500549316407,0.0023584549136130206,3,0.1,1,3,34,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 34}",0.7959183673469388,0.7704081632653063,0.7653061224489797,0.8571428571428571,0.8736263736263736,0.8124803767660911,0.044728853463226415,5479
0.1340038776397705,0.010412665102783634,0.015741586685180664,0.004736420631311816,3,0.1,1,3,36,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 36}",0.8061224489795918,0.7755102040816326,0.7755102040816326,0.8418367346938775,0.8406593406593407,0.807927786499215,0.029415063993018267,5540
0.13889999389648439,0.01101030802671184,0.013901758193969726,0.0023340348013641907,3,0.1,1,3,38,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 38}",0.7959183673469388,0.7448979591836735,0.7908163265306123,0.8418367346938777,0.8516483516483516,0.8050235478806907,0.03854586597008999,5547
0.15282368659973145,0.051669866220696026,0.013544988632202149,0.0014139849760425479,3,0.1,1,3,40,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 40}",0.8061224489795918,0.7755102040816327,0.7806122448979591,0.8418367346938777,0.8516483516483516,0.8111459968602827,0.031015537723271026,5498
0.1765714168548584,0.0444497276944686,0.012741661071777344,0.0015642502713893696,3,0.1,1,3,42,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 42}",0.8061224489795918,0.7704081632653061,0.7602040816326531,0.8622448979591837,0.8461538461538463,0.8090266875981161,0.040234501844345474,5530
0.17049155235290528,0.044073314115578334,0.013620519638061523,0.0031404037100099796,3,0.1,1,3,45,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 45}",0.8571428571428572,0.7653061224489796,0.7857142857142857,0.8928571428571428,0.8736263736263736,0.8349293563579276,0.0502315540068071,4519
0.21757817268371582,0.1047563892876077,0.020380783081054687,0.006758055591249629,3,0.1,1,3,47,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 47}",0.8877551020408163,0.7448979591836735,0.7704081632653063,0.8979591836734694,0.8571428571428572,0.8316326530612246,0.062403611638451616,4783
0.2030780792236328,0.07009163684412859,0.030508804321289062,0.02401966777785474,3,0.1,1,3,49,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 49}",0.9081632653061225,0.7448979591836735,0.7653061224489796,0.8979591836734694,0.8791208791208791,0.8390894819466247,0.06950592663634905,4149
0.22329368591308593,0.04280733237099971,0.01823282241821289,0.0033759062793737218,3,0.1,1,3,51,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 51}",0.8979591836734693,0.7448979591836735,0.7755102040816327,0.9030612244897959,0.868131868131868,0.8379120879120878,0.06528234381733675,4276
0.24687643051147462,0.08675687201291282,0.02065000534057617,0.008375259144860295,3,0.1,1,3,53,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 53}",0.903061224489796,0.7551020408163266,0.7857142857142857,0.9183673469387755,0.8681318681318682,0.8460753532182104,0.06462138000754311,3481
0.23582148551940918,0.041516552024804886,0.019635581970214845,0.0005834240223891531,3,0.1,1,3,55,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 55}",0.9030612244897959,0.7653061224489797,0.7908163265306123,0.923469387755102,0.8736263736263736,0.8512558869701727,0.062352744689785924,2891
0.2635319232940674,0.07362271519969953,0.01712002754211426,0.004343241219386086,3,0.1,1,3,57,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 57}",0.8979591836734693,0.75,0.7959183673469388,0.9030612244897959,0.8736263736263736,0.8441130298273155,0.06070473338227482,3721
0.2168349266052246,0.01930524468109202,0.015232181549072266,0.0016773401049705648,3,0.1,1,3,60,"{'max_depth': 3, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 60}",0.9081632653061225,0.75,0.8112244897959183,0.8979591836734693,0.8846153846153846,0.8503924646781791,0.0606366945516256,2955
